time,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.fluid_pressure,field.temperature,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist,field.measured,field.measured.1,field.measured.2,fault_state,field.airspeed
10:52.7,0.136,-0.3375,-0.258,0.588399,0.8433719,14.9845612,-216500,286000,-742000,98569.63501,29.7,23.68000031,-290.8639832,1.587484837,238,-2.402859211,44.03226089,59.5092659,0,0
10:52.7,0.189,-0.327,-0.258,0.53936575,1.06892485,14.5922952,-259000,-187000,-723000,98571.40503,29.7,23.68000031,-290.8639832,1.587484837,238,-2.402859211,44.03226089,59.5092659,0,0
10:52.8,0.113,-0.337,-0.253,0.5099458,1.0395049,14.73449163,-216000,675500,-766000,98569.97986,29.7,23.72999954,-321.9707642,2.613334656,237,-2.402859211,44.03226089,59.5092659,0,0
10:52.8,0.037,-0.347,-0.248,0.48052585,1.01008495,14.87668805,-173000,1538000,-809000,98568.55469,29.7,23.74999905,-321.9707642,2.340192795,237,-2.402859211,44.03226089,59.5092659,0,0
10:52.8,0.010333333,-0.337,-0.255666667,0.48052585,1.0591182,14.6707484,-192333.3333,1189000,-792000,98569.6167,29.7,23.75666555,-321.9707642,2.249145508,237,-2.402859211,44.03226089,59.5092659,0,0
10:52.9,-0.016333333,-0.327,-0.263333333,0.48052585,1.10815145,14.46480875,-211666.6667,840000,-775000,98570.67871,29.7,23.76333205,-321.9707642,2.158098221,237,-2.402859211,44.03226089,59.5092659,0,0
10:52.9,-0.043,-0.317,-0.271,0.48052585,1.1571847,14.2588691,-231000,491000,-758000,98571.74072,29.7,23.76999855,-321.9707642,2.067050934,237,-2.402859211,44.03226089,59.5092659,0,0
10:53.0,-0.088,-0.3,-0.2765,0.46091255,1.22583125,14.17551258,-225000,785500,-781500,98570.87708,29.695,23.79999924,-362.7983093,3.053925753,236,-2.402859211,44.03226089,59.5092659,0,0
10:53.0,-0.133,-0.283,-0.282,0.44129925,1.2944778,14.09215605,-219000,1080000,-805000,98570.01343,29.69,23.79999924,-362.7983093,3.053925753,236,-1.278728843,45.33806992,68.8817215,0,0
10:53.0,-0.172,-0.269333333,-0.293333333,0.444568133,1.202949067,13.89275417,-232333.3333,829333.3333,-793000,98570.56275,29.69,23.81499958,-362.7983093,2.264660001,235.5,-1.278728843,45.33806992,68.8817215,0,0
10:53.1,-0.211,-0.255666667,-0.304666667,0.447837017,1.111420333,13.69335228,-245666.6667,578666.6667,-781000,98571.11206,29.69,23.82999992,-362.7983093,1.475394249,235,-1.278728843,45.33806992,68.8817215,0,0
10:53.1,-0.25,-0.242,-0.316,0.4511059,1.0198916,13.4939504,-259000,328000,-769000,98571.66138,29.69,23.82999992,-362.7983093,1.475394249,235,-1.278728843,45.33806992,68.8817215,0,0
10:53.2,-0.214666667,-0.247,-0.301333333,0.447837017,0.974127233,13.39915278,-265000,141000,-758333.3333,98571.33179,29.69,23.85000038,-394.6344299,2.500444174,234,-1.278728843,45.33806992,68.8817215,0,0
10:53.2,-0.179333333,-0.252,-0.286666667,0.444568133,0.928362867,13.30435517,-271000,-46000,-747666.6667,98571.0022,29.69,23.85000038,-394.6344299,2.500444174,234,-1.278728843,45.33806992,68.8817215,0,0
10:53.2,-0.144,-0.257,-0.272,0.44129925,0.8825985,13.20955755,-277000,-233000,-737000,98570.67261,29.69,23.85499954,-394.6344299,2.975683809,233.5,-1.2983284,44.02336693,71.69369889,0,0
10:53.3,-0.102,-0.246,-0.275,0.392266,0.95124505,12.15043935,-241500,326000,-751000,98572.14356,29.69,23.8599987,-394.6344299,3.450923443,233,-1.317927957,42.70866394,74.50567627,0,0
10:53.3,-0.06,-0.235,-0.278,0.34323275,1.0198916,11.09132115,-206000,885000,-765000,98573.6145,29.69,23.86999893,-415.0602264,2.194201529,232.5,-1.317927957,42.70866394,74.50567627,0,0
10:53.4,-0.083,-0.2285,-0.301,0.250069575,0.980665,11.73856005,-227500,626500,-756000,98573.01026,29.685,23.87999916,-435.4860229,0.937479615,232,-1.317927957,42.70866394,74.50567627,0,0
10:53.4,-0.106,-0.222,-0.324,0.1569064,0.9414384,12.38579895,-249000,368000,-747000,98572.40601,29.68,23.87999916,-435.4860229,0.937479615,232,-1.317927957,42.70866394,74.50567627,0,0
10:53.4,-0.092,-0.220333333,-0.346666667,0.189595233,0.827027483,12.05891062,-245333.3333,368333.3333,-741666.6667,98571.56983,29.68,23.89999962,-436.4860535,2.018368244,231,-1.317927957,42.70866394,74.50567627,0,0
10:53.5,-0.078,-0.218666667,-0.369333333,0.222284067,0.712616567,11.73202228,-241666.6667,368666.6667,-736333.3333,98570.73364,29.68,23.89999962,-436.4860535,2.018368244,231,-1.317927957,42.70866394,74.50567627,0,0
10:53.5,-0.064,-0.217,-0.392,0.2549729,0.59820565,11.40513395,-238000,369000,-731000,98569.89746,29.68,23.89999962,-436.4860535,2.018368244,231,-1.317927957,42.70866394,74.50567627,0,0
10:53.6,-0.007,-0.216,-0.383,0.250069575,0.426589275,11.6503002,-236000,475500,-743500,98572.24121,29.68,23.93000031,-466.0108643,1.257654905,230,-1.317927957,42.70866394,74.50567627,0,0
10:53.6,0.05,-0.215,-0.374,0.24516625,0.2549729,11.89546645,-234000,582000,-756000,98574.58496,29.68,23.93000031,-466.0108643,1.257654905,230,-1.317927957,42.70866394,74.50567627,0,0
10:53.6,0.120333333,-0.218666667,-0.353,0.189595233,0.38245935,11.87912203,-243666.6667,405666.6667,-747000,98573.33781,29.68,23.96999931,-466.0108643,2.373623133,228,-1.317927957,42.70866394,74.50567627,0,0
10:53.7,0.190666667,-0.222333333,-0.332,0.134024217,0.5099458,11.86277762,-253333.3333,229333.3333,-738000,98572.09066,29.68,23.96999931,-466.0108643,2.373623133,228,-1.317927957,42.70866394,74.50567627,0,0
10:53.7,0.261,-0.226,-0.311,0.0784532,0.63743225,11.8464332,-263000,53000,-729000,98570.84351,29.68,23.98999977,-476.558014,1.001785204,227.5,-1.317927957,42.70866394,74.50567627,0,0
10:53.8,0.353,-0.243,-0.316,0.10787315,0.289296175,11.8464332,-252000,492500,-744000,98570.95337,29.675,24.01000023,-487.1051636,-0.370052725,227,-1.317927957,42.70866394,74.50567627,0,0
10:53.8,0.445,-0.26,-0.321,0.1372931,-0.0588399,11.8464332,-241000,932000,-759000,98571.06323,29.67,24.01000023,-487.1051636,-0.370052725,227,-2.60690403,42.64409637,86.7833786,0,0
10:53.8,0.349,-0.258333333,-0.278666667,0.091528733,0.179788583,11.62088025,-242666.6667,922666.6667,-757000,98571.93807,29.67,24.03999996,-486.6051636,0.25762771,226.5,-2.60690403,42.64409637,86.7833786,0,0
10:53.9,0.253,-0.256666667,-0.236333333,0.045764367,0.418417067,11.3953273,-244333.3333,913333.3333,-755000,98572.8129,29.67,24.06999969,-486.1051636,0.885308146,226,-2.60690403,42.64409637,86.7833786,0,0
10:53.9,0.157,-0.255,-0.194,0,0.65704555,11.16977435,-246000,904000,-753000,98573.68774,29.67,24.10499954,-499.6493225,1.487688363,225.5,-2.60690403,42.64409637,86.7833786,0,0
10:54.0,0.0985,-0.2615,-0.178,0.063743225,0.89240515,11.4541672,-275000,1057000,-772500,98574.65515,29.67,24.13999939,-513.1934814,2.090068579,225,-2.60690403,42.64409637,86.7833786,0,0
10:54.0,0.04,-0.268,-0.162,0.12748645,1.12776475,11.73856005,-304000,1210000,-792000,98575.62256,29.67,24.13999939,-513.1934814,2.090068579,225,-2.60690403,42.64409637,86.7833786,0,0
10:54.0,0.00625,-0.269,-0.17575,0.20593965,1.154733038,11.8072066,-310750,1041000,-790250,98576.59149,29.67,24.18499947,-513.1934814,1.72343874,224,-2.60690403,42.64409637,86.7833786,0,0
10:54.1,-0.0275,-0.27,-0.1895,0.28439285,1.181701325,11.87585315,-317500,872000,-788500,98577.56043,29.67,24.22999954,-513.1934814,1.356808901,223,-2.60690403,42.64409637,86.7833786,0,0
10:54.1,-0.06125,-0.271,-0.20325,0.36284605,1.208669613,11.9444997,-324250,703000,-786750,98578.52936,29.67,24.32999992,-529.2711182,2.565575123,222,-2.60690403,42.64409637,86.7833786,0,0
10:54.2,-0.095,-0.272,-0.217,0.44129925,1.2356379,12.01314625,-331000,534000,-785000,98579.49829,29.67,24.32999992,-529.2711182,2.565575123,222,-2.60690403,42.64409637,86.7833786,0,0
10:54.2,-0.047,-0.2,-0.299,0.32361945,1.6671305,11.16977435,-321000,1401000,-822000,98578.58276,29.66,24.32999992,-529.2711182,2.565575123,222,-1.890755177,45.75901794,95.35132599,0,0
10:54.2,-0.111333333,-0.202333333,-0.319,0.375921583,1.569064,11.2972608,-342000,741000,-798000,98580.2775,29.66,24.43999863,-529.2711182,3.719050646,220,-1.890755177,45.75901794,95.35132599,0,0
10:54.3,-0.175666667,-0.204666667,-0.339,0.428223717,1.4709975,11.42474725,-363000,81000,-774000,98581.97225,29.66,24.43999863,-529.2711182,3.719050646,220,-1.890755177,45.75901794,95.35132599,0,0
10:54.3,-0.24,-0.207,-0.359,0.48052585,1.372931,11.5522337,-384000,-579000,-750000,98583.66699,29.66,24.50499916,-544.7770997,2.937003017,219.5,-1.890755177,45.75901794,95.35132599,0,0
10:54.4,-0.248666667,-0.192333333,-0.375666667,0.40207265,1.199680183,11.36590735,-362333.3333,266333.3333,-789333.3333,98585.38208,29.66,24.56999969,-560.2830811,2.154955387,219,-1.890755177,45.75901794,95.35132599,0,0
10:54.4,-0.257333333,-0.177666667,-0.392333333,0.32361945,1.026429367,11.179581,-340666.6667,1111666.667,-828666.6667,98587.09717,29.66,24.56999969,-560.2830811,2.154955387,219,-1.890755177,45.75901794,95.35132599,0,0
10:54.4,-0.266,-0.163,-0.409,0.24516625,0.85317855,10.99325465,-319000,1957000,-868000,98588.81226,29.66,24.63499928,-559.7830811,2.777897716,218,-1.890755177,45.75901794,95.35132599,0,0
10:54.5,-0.165,-0.195,-0.4105,0.34323275,0.53936575,11.50320045,-312000,1760000,-839000,98588.68714,29.655,24.69999886,-559.2830811,3.400840044,217,-1.890755177,45.75901794,95.35132599,0,0
10:54.5,-0.064,-0.227,-0.412,0.44129925,0.22555295,12.01314625,-305000,1563000,-810000,98588.56201,29.65,24.69999886,-559.2830811,3.400840044,217,-1.890755177,45.75901794,95.35132599,0,0
10:54.6,0.053,-0.2615,-0.3735,0.348136075,0.2941995,12.4544455,-319000,1042500,-787500,98587.91199,29.65,24.84000015,-578.9220581,0.710058868,215,-1.890755177,45.75901794,95.35132599,0,0
10:54.6,0.17,-0.296,-0.335,0.2549729,0.36284605,12.89574475,-333000,522000,-765000,98587.26196,29.65,24.84000015,-578.9220581,0.710058868,215,-4.044647694,41.63162613,105.0217438,0,0
10:54.6,0.157333333,-0.302666667,-0.317666667,0.22555295,0.385728233,12.93497135,-326666.6667,823333.3333,-777333.3333,98588.10628,29.65,24.92000008,-578.9220581,1.417929143,214.5,-4.044647694,41.63162613,105.0217438,0,0
10:54.7,0.144666667,-0.309333333,-0.300333333,0.196133,0.408610417,12.97419795,-320333.3333,1124666.667,-789666.6667,98588.9506,29.65,25,-578.9220581,2.125799418,214,-4.044647694,41.63162613,105.0217438,0,0
10:54.7,0.132,-0.316,-0.283,0.16671305,0.4314926,13.01342455,-314000,1426000,-802000,98589.79492,29.65,25,-578.9220581,2.125799418,214,-4.044647694,41.63162613,105.0217438,0,0
10:54.8,0.148666667,-0.329333333,-0.269666667,0.2745862,0.48052585,13.28801075,-326333.3333,1366333.333,-807000,98589.25781,29.65,25.18000031,-603.9835205,2.477938652,212,-4.044647694,41.63162613,105.0217438,0,0
10:54.8,0.165333333,-0.342666667,-0.256333333,0.38245935,0.5295591,13.56259695,-338666.6667,1306666.667,-812000,98588.7207,29.65,25.18000031,-603.9835205,2.477938652,212,-4.044647694,41.63162613,105.0217438,0,0
10:54.8,0.182,-0.356,-0.243,0.4903325,0.57859235,13.83718315,-351000,1247000,-817000,98588.18359,29.65,25.27499962,-603.9835205,3.160056591,211,-4.044647694,41.63162613,105.0217438,0,0
10:54.9,0.103,-0.35,-0.2395,0.5491724,0.573689025,13.85189313,-354500,1703000,-842500,98592.23023,29.65,25.36999893,-603.9835205,3.84217453,210,-4.044647694,41.63162613,105.0217438,0,0
10:54.9,0.024,-0.344,-0.236,0.6080123,0.5687857,13.8666031,-358000,2159000,-868000,98596.27686,29.65,25.36999893,-603.9835205,3.84217453,210,-4.044647694,41.63162613,105.0217438,0,0
10:55.0,0.019666667,-0.348666667,-0.243,0.621087833,0.594936767,14.24906245,-367666.6667,1912000,-853000,98595.6014,29.64666667,25.54999924,-609.4863892,5.148480892,208,-3.272184849,44.06053925,112.8041611,0,0
10:55.0,0.015333333,-0.353333333,-0.25,0.634163367,0.621087833,14.6315218,-377333.3333,1665000,-838000,98594.92595,29.64333333,25.54999924,-609.4863892,5.148480892,208,-3.272184849,44.06053925,112.8041611,0,0
10:55.0,0.011,-0.358,-0.257,0.6472389,0.6472389,15.01398115,-387000,1418000,-823000,98594.25049,29.64,25.72999954,-609.4863892,2.58217001,206,-3.272184849,44.06053925,112.8041611,0,0
10:55.1,0.003,-0.366,-0.2415,0.603108975,0.69627215,15.32289063,-391500,1885000,-853500,98598.85559,29.64,25.72999954,-609.4863892,2.58217001,206,-3.272184849,44.06053925,112.8041611,0,0
10:55.1,-0.005,-0.374,-0.226,0.55897905,0.7453054,15.6318001,-396000,2352000,-884000,98603.46069,29.64,25.72999954,-609.4863892,2.58217001,206,-3.272184849,44.06053925,112.8041611,0,0
10:55.2,-0.032,-0.372,-0.215333333,0.6276256,0.83356525,15.65468228,-402666.6667,2286666.667,-883000,98603.31217,29.64,25.88999939,-635.2485352,4.010281563,204,-3.272184849,44.06053925,112.8041611,0,0
10:55.2,-0.059,-0.37,-0.204666667,0.69627215,0.9218251,15.67756447,-409333.3333,2221333.333,-882000,98603.16366,29.64,25.88999939,-635.2485352,4.010281563,204,-3.272184849,44.06053925,112.8041611,0,0
10:55.2,-0.086,-0.368,-0.194,0.7649187,1.01008495,15.70044665,-416000,2156000,-881000,98603.01514,29.64,26.02999878,-635.2485352,3.368811607,202,-3.272184849,44.06053925,112.8041611,0,0
10:55.3,-0.0265,-0.347,-0.2195,0.7453054,1.08853815,14.8276548,-431000,2155500,-880000,98603.77503,29.635,26.02999878,-635.2485352,3.368811607,202,-0.956218243,43.80822372,121.9322128,0,0
10:55.3,0.033,-0.326,-0.245,0.7256921,1.16699135,13.95486295,-446000,2155000,-879000,98604.53491,29.63,26.09499932,-652.4716187,4.078817606,201,-0.956218243,43.80822372,121.9322128,0,0
10:55.4,0.045,-0.326,-0.263,0.67665885,1.3533177,14.22944915,-458000,1883500,-865500,98608.88672,29.63,26.15999985,-669.6947021,4.788823605,200,-0.956218243,43.80822372,121.9322128,0,0
10:55.4,0.057,-0.326,-0.281,0.6276256,1.53964405,14.50403535,-470000,1612000,-852000,98613.23853,29.63,26.15999985,-669.6947021,4.788823605,200,-0.956218243,43.80822372,121.9322128,0,0
10:55.4,0.047333333,-0.327666667,-0.294333333,0.61781895,1.467728617,14.44192657,-472333.3333,1612000,-849666.6667,98613.63526,29.63,26.27999878,-669.6947021,6.126386166,198,-0.956218243,43.80822372,121.9322128,0,0
10:55.5,0.037666667,-0.329333333,-0.307666667,0.6080123,1.395813183,14.37981778,-474666.6667,1612000,-847333.3333,98614.03198,29.63,26.27999878,-669.6947021,6.126386166,198,-0.956218243,43.80822372,121.9322128,0,0
10:55.5,0.028,-0.331,-0.321,0.59820565,1.32389775,14.317709,-477000,1612000,-845000,98614.42871,29.63,26.27999878,-669.6947021,6.126386166,198,-0.956218243,43.80822372,121.9322128,0,0
10:55.6,0.032333333,-0.333666667,-0.333,0.643970017,1.176798,14.66747952,-489333.3333,1611333.333,-847333.3333,98611.91203,29.63,26.38999939,-693.421936,3.846396923,196,-0.956218243,43.80822372,121.9322128,0,0
10:55.6,0.036666667,-0.336333333,-0.345,0.689734383,1.02969825,15.01725003,-501666.6667,1610666.667,-849666.6667,98609.39534,29.63,26.43499947,-693.921936,4.574481964,195,-0.956218243,43.80822372,121.9322128,0,0
10:55.6,0.041,-0.339,-0.357,0.73549875,0.8825985,15.36702055,-514000,1610000,-852000,98606.87866,29.63,26.47999954,-694.421936,5.302567005,194,-0.956218243,43.80822372,121.9322128,0,0
10:55.7,0.1815,-0.335,-0.359,0.7256921,1.0591182,14.32261233,-491500,2152500,-875000,98616.26587,29.63,26.47999954,-694.421936,5.302567005,194,-0.351928055,45.1006279,131.7173615,0,0
10:55.7,0.322,-0.331,-0.361,0.71588545,1.2356379,13.2782041,-469000,2695000,-898000,98625.65308,29.63,26.47999954,-694.421936,5.302567005,194,-0.351928055,45.1006279,131.7173615,0,0
10:55.8,0.21,-0.335,-0.373,0.820489717,1.163722467,13.77834325,-506000,2152333.333,-883000,98625.37639,29.62666667,26.52499962,-698.3657836,5.215669632,192.5,-0.351928055,45.1006279,131.7173615,0,0
10:55.8,0.098,-0.339,-0.385,0.925093983,1.091807033,14.2784824,-543000,1609666.667,-868000,98625.09969,29.62333333,26.56999969,-702.3096313,5.128772259,191,-0.351928055,45.1006279,131.7173615,0,0
10:55.8,-0.014,-0.343,-0.397,1.02969825,1.0198916,14.77862155,-580000,1067000,-853000,98624.823,29.62,26.65999985,-701.3095703,6.550464153,189,-0.351928055,45.1006279,131.7173615,0,0
10:55.9,-0.0615,-0.342,-0.393,1.0787315,1.024794925,14.59719853,-563500,1880000,-891000,98629.27246,29.62,26.65999985,-701.3095703,6.550464153,189,-0.351928055,45.1006279,131.7173615,0,0
10:55.9,-0.109,-0.341,-0.389,1.12776475,1.02969825,14.4157755,-547000,2693000,-929000,98633.72192,29.62,26.65999985,-701.3095703,6.550464153,189,-0.351928055,45.1006279,131.7173615,0,0
10:56.0,-0.115,-0.338333333,-0.377,1.072193733,1.013353833,14.4157755,-551333.3333,2693000,-934333.3333,98630.02929,29.62,26.76000023,-723.4046631,7.904539108,187,-0.351928055,45.1006279,131.7173615,0,0
10:56.0,-0.121,-0.335666667,-0.365,1.016622717,0.997009417,14.4157755,-555666.6667,2693000,-939666.6667,98626.33667,29.62,26.76000023,-723.4046631,7.904539108,187,-0.351928055,45.1006279,131.7173615,0,0
10:56.0,-0.127,-0.333,-0.353,0.9610517,0.980665,14.4157755,-560000,2693000,-945000,98622.64404,29.62,26.84999847,-723.4046631,7.495485783,184,-1.168200016,46.3343544,142.0584259,0,0
10:56.1,-0.1245,-0.3375,-0.341,0.887501825,1.0002783,14.22944915,-563500,2692500,-935500,98620.10193,29.62,26.84999847,-723.4046631,7.495485783,184,-1.168200016,46.3343544,142.0584259,0,0
10:56.1,-0.122,-0.342,-0.329,0.81395195,1.0198916,14.0431228,-567000,2692000,-926000,98617.55981,29.62,26.84999847,-723.4046631,7.495485783,184,-1.168200016,46.3343544,142.0584259,0,0
10:56.2,-0.150333333,-0.358333333,-0.323333333,0.93163175,0.81395195,14.48115317,-561666.6667,2692333.333,-925333.3333,98619.27897,29.62,26.94999886,-728.7603149,8.811270714,182,-1.168200016,46.3343544,142.0584259,0,0
10:56.2,-0.178666667,-0.374666667,-0.317666667,1.04931155,0.6080123,14.91918353,-556333.3333,2692666.667,-924666.6667,98620.99813,29.62,26.94999886,-728.7603149,8.811270714,182,-1.168200016,46.3343544,142.0584259,0,0
10:56.2,-0.207,-0.391,-0.312,1.16699135,0.40207265,15.3572139,-551000,2693000,-924000,98622.71729,29.62,26.99999905,-728.7603149,9.056825161,181,-1.168200016,46.3343544,142.0584259,0,0
10:56.3,-0.186333333,-0.383666667,-0.281,1.085269267,0.545903517,15.44547375,-557333.3333,2692333.333,-920666.6667,98621.44979,29.61666667,27.04999924,-728.7603149,9.302379608,180,-1.168200016,46.3343544,142.0584259,0,0
10:56.3,-0.165666667,-0.376333333,-0.25,1.003547183,0.689734383,15.5337336,-563666.6667,2691666.667,-917333.3333,98620.18229,29.61333333,27.12999916,-743.8581543,10.50855541,177,-1.168200016,46.3343544,142.0584259,0,0
10:56.4,-0.145,-0.369,-0.219,0.9218251,0.83356525,15.62199345,-570000,2691000,-914000,98618.91479,29.61,27.12999916,-743.8581543,10.50855541,177,-1.168200016,46.3343544,142.0584259,0,0
10:56.4,-0.099,-0.3735,-0.222,0.848275225,1.024794925,16.01425945,-557000,2691500,-904000,98616.72668,29.605,27.18999863,-743.8581543,11.63640213,175,-1.168200016,46.3343544,142.0584259,0,0
10:56.4,-0.053,-0.378,-0.225,0.77472535,1.2160246,16.40652545,-544000,2692000,-894000,98614.53857,29.6,27.18999863,-743.8581543,11.63640213,175,-1.168200016,46.3343544,142.0584259,0,0
10:56.5,-0.0345,-0.39,-0.229,0.784532,1.1375714,16.50949528,-547000,2691500,-892000,98615.85693,29.6,27.18999863,-743.8581543,11.63640213,175,0.609168053,42.74033737,153.6323395,0,0
10:56.5,-0.016,-0.402,-0.233,0.79433865,1.0591182,16.6124651,-550000,2691000,-890000,98617.17529,29.6,27.20499897,-752.0379944,11.89075327,173.5,0.609168053,42.74033737,153.6323395,0,0
10:56.6,0.0375,-0.394,-0.2625,0.838468575,0.877695175,16.671305,-551500,2420000,-865500,98626.02539,29.6,27.21999931,-760.2178345,12.14510441,172,0.609168053,42.74033737,153.6323395,0,0
10:56.6,0.091,-0.386,-0.292,0.8825985,0.69627215,16.7301449,-553000,2149000,-841000,98634.87549,29.6,27.21999931,-760.2178345,12.14510441,172,0.609168053,42.74033737,153.6323395,0,0
10:56.6,0.073,-0.373666667,-0.282333333,0.836834133,0.693003267,15.81812645,-560666.6667,2148333.333,-838000,98632.82471,29.6,27.20999908,-761.2178955,13.13260555,170,0.609168053,42.74033737,153.6323395,0,0
10:56.7,0.055,-0.361333333,-0.272666667,0.791069767,0.689734383,14.906108,-568333.3333,2147666.667,-835000,98630.77392,29.6,27.20999908,-761.2178955,13.13260555,170,0.609168053,42.74033737,153.6323395,0,0
10:56.7,0.037,-0.349,-0.263,0.7453054,0.6864655,13.99408955,-576000,2147000,-832000,98628.72314,29.6,27.20999908,-761.2178955,13.13260555,170,0.609168053,42.74033737,153.6323395,0,0
10:56.8,0.008,-0.3315,-0.265,0.71588545,0.681562175,13.69743839,-573500,2282500,-838000,98625.84228,29.6,27.1949997,-759.7367249,13.52739954,168.5,0.609168053,42.74033737,153.6323395,0,0
10:56.8,-0.021,-0.314,-0.267,0.6864655,0.67665885,13.40078723,-571000,2418000,-844000,98622.96143,29.6,27.18000031,-758.2555542,13.92219353,167,0.609168053,42.74033737,153.6323395,0,0
10:56.8,-0.05,-0.2965,-0.269,0.65704555,0.671755525,13.10413606,-568500,2553500,-850000,98620.08057,29.6,27.14999962,-757.2555542,14.74214077,165,0.609168053,42.74033737,153.6323395,0,0
10:56.9,-0.079,-0.279,-0.271,0.6276256,0.6668522,12.8074849,-566000,2689000,-856000,98617.19971,29.6,27.12999916,-758.381836,15.10985089,163.5,0.609168053,42.74033737,153.6323395,0,0
10:56.9,-0.0445,-0.2815,-0.2795,0.5687857,0.71588545,12.74374168,-577000,2689000,-862000,98611.5448,29.595,27.1099987,-759.5081177,15.477561,162,0.609168053,42.74033737,153.6323395,0,0
10:57.0,-0.01,-0.284,-0.288,0.5099458,0.7649187,12.67999845,-588000,2689000,-868000,98605.88989,29.59,27.1099987,-759.5081177,15.477561,162,2.526729107,43.63375092,165.438858,0,0
10:57.0,-0.04,-0.2915,-0.2945,0.44129925,0.799241975,13.61653353,-595000,2417500,-849000,98613.79089,29.59,27.1099987,-759.5081177,15.477561,162,2.526729107,43.63375092,165.438858,0,0
10:57.0,-0.07,-0.299,-0.301,0.3726527,0.83356525,14.5530686,-602000,2146000,-830000,98621.69189,29.59,27.07999992,-759.5081177,16.13689804,160,2.526729107,43.63375092,165.438858,0,0
10:57.1,-0.046,-0.306,-0.294,0.338329425,0.8825985,14.60210185,-583500,2146000,-815000,98618.10913,29.59,27.07999992,-759.5081177,16.13689804,160,2.526729107,43.63375092,165.438858,0,0
10:57.1,-0.022,-0.313,-0.287,0.30400615,0.93163175,14.6511351,-565000,2146000,-800000,98614.52637,29.59,27.05499935,-752.1741639,16.42430306,159,2.526729107,43.63375092,165.438858,0,0
10:57.2,-0.015333333,-0.311,-0.289666667,0.300737267,0.967589467,14.80477262,-568666.6667,2146000,-799333.3333,98612.90283,29.59,27.02999878,-744.84021,16.71170807,158,2.526729107,43.63375092,165.438858,0,0
10:57.2,-0.008666667,-0.309,-0.292333333,0.297468383,1.003547183,14.95841013,-572333.3333,2146000,-798666.6667,98611.2793,29.59,27.02999878,-744.84021,16.71170807,158,2.82937932,43.58559036,171.3162079,0,0
10:57.2,-0.002,-0.307,-0.295,0.2941995,1.0395049,15.11204765,-576000,2146000,-798000,98609.65576,29.59,26.95999908,-744.84021,17.19355011,155,2.82937932,43.58559036,171.3162079,0,0
10:57.3,0.009,-0.3125,-0.296,0.3726527,0.93163175,14.92081798,-587000,1875000,-788500,98612.21619,29.585,26.95999908,-744.84021,17.19355011,155,2.82937932,43.58559036,171.3162079,0,0
10:57.3,0.02,-0.318,-0.297,0.4511059,0.8237586,14.7295883,-598000,1604000,-779000,98614.77661,29.58,26.95999908,-744.84021,17.19355011,155,2.82937932,43.58559036,171.3162079,0,0
10:57.4,0.011333333,-0.315333333,-0.289666667,0.44129925,0.781263117,14.51057312,-585333.3333,1854000,-783000,98616.3208,29.58,26.87999916,-730.6890259,17.57393837,153,2.82937932,43.58559036,171.3162079,0,0
10:57.4,0.002666667,-0.312666667,-0.282333333,0.4314926,0.738767633,14.29155793,-572666.6667,2104000,-787000,98617.86499,29.58,26.8466657,-730.6890259,17.67255974,152.3333333,2.82937932,43.58559036,171.3162079,0,0
10:57.4,-0.006,-0.31,-0.275,0.42168595,0.69627215,14.07254275,-560000,2354000,-791000,98619.40918,29.58,26.81333224,-730.6890259,17.77118111,151.6666667,2.82937932,43.58559036,171.3162079,0,0
10:57.5,-0.0085,-0.3,-0.2695,0.416782625,0.63743225,13.4743371,-559000,1975500,-757500,98623.37952,29.58,26.77999878,-730.6890259,17.86980248,151,2.82937932,43.58559036,171.3162079,0,0
10:57.5,-0.011,-0.29,-0.264,0.4118793,0.57859235,12.87613145,-558000,1597000,-724000,98627.34985,29.58,26.77999878,-730.6890259,17.86980248,151,2.82937932,43.58559036,171.3162079,0,0
10:57.6,-0.018,-0.294333333,-0.261333333,0.359577167,0.71588545,12.65384738,-576333.3333,1237333.333,-709333.3333,98622.72746,29.58,26.67000008,-707.7766113,18.07267571,148,2.82937932,43.58559036,171.3162079,0,0
10:57.6,-0.025,-0.298666667,-0.258666667,0.307275033,0.85317855,12.43156332,-594666.6667,877666.6667,-694666.6667,98618.10506,29.58,26.61999989,-707.7766113,18.12340165,147,2.82937932,43.58559036,171.3162079,0,0
10:57.6,-0.032,-0.303,-0.256,0.2549729,0.99047165,12.20927925,-613000,518000,-680000,98613.48267,29.58,26.56999969,-707.7766113,18.17412758,146,2.82937932,43.58559036,171.3162079,0,0
10:57.7,-0.0725,-0.2765,-0.251,0.230456275,1.12776475,11.8072066,-606500,517500,-669500,98607.91932,29.575,26.56999969,-707.7766113,18.17412758,146,3.566191196,44.19852829,-177.6826477,0,0
10:57.7,-0.113,-0.25,-0.246,0.20593965,1.26505785,11.40513395,-600000,517000,-659000,98602.35596,29.57,26.56999969,-707.7766113,18.17412758,146,3.566191196,44.19852829,-177.6826477,0,0
10:57.8,-0.198666667,-0.249666667,-0.254333333,0.2157463,1.189873533,11.81701325,-587666.6667,686333.3333,-659666.6667,98604.5044,29.57,26.47999954,-708.8855591,18.20793915,144,3.566191196,44.19852829,-177.6826477,0,0
